6979,3223,3718,13697,5947,2747,3168,11670
3775,1745,2007,7404,9171,4233,4887,17998
11331,5228,6038,22233,1045,487,553,2049
8640,3988,4601,16952,4075,1884,2169,7996
5591,2583,2976,10969,7315,3377,3898,14355
2514,1164,1336,4932,73,39,35,141
10771,4972,5743,21144,2343,1086,1247,4598
7585,3503,4042,14889,5521,2552,2943,10839
4451,2057,2370,8735,8873,4099,4735,17425
11893,5497,6354,23371,491,232,259,963
9903,4579,5292,19464,3830,1774,2046,7529
6589,3048,3519,12949,7179,3322,3838,14112
3265,1513,1742,6416,71,38,34,137
12048,5572,6444,23689,1876,872,1001,3687
8679,4015,4640,17064,5281,2446,2825,10386
5298,2453,2831,10415,8679,4017,4644,17069
1909,887,1017,3750,71,37,34,136
10726,4962,5737,21092,3284,1523,1755,6457
7311,3383,3909,14375,6675,3090,3571,13126
3916,1814,2091,7697,10104,4676,5408,19873
12271,5678,6568,24136,1280,597,682,2516
9379,4341,5018,18448,4702,2179,2516,9249
5958,2759,3185,11715,8105,3752,4339,15944
2545,1181,1358,5003,70,37,34,136
11416,5283,6111,22456,2676,1242,1430,5263
7979,3694,4269,15695,6090,2821,3260,11982
4579,2122,2448,9005,9531,4413,5104,18753
12350,5716,6613,24298,651,306,345,1278
10036,4646,5372,19744,4078,1891,2182,8023
6619,3065,3541,13020,7521,3484,4028,14799
811,742,567,2095,1809,1798,1364,4913
