1928,1852,1404,5106,2027,1890,1431,5253
2083,1895,1434,5304,1815,1786,1355,4892
2036,1874,1419,5229,1892,1818,1378,5011
1961,1846,1399,5119,1970,1850,1402,5134
1885,1817,1378,5004,1809,1786,1355,4887
2083,1895,1434,5304,1847,1801,1366,4945
2006,1864,1412,5188,1931,1845,1399,5095
1941,1857,1408,5126,2017,1895,1435,5257
1869,1837,1393,5034,1825,1819,1381,4967
2068,1917,1451,5337,1895,1848,1401,5074
1991,1886,1428,5220,1971,1878,1423,5190
1914,1855,1406,5103,2048,1909,1445,5307
2099,1929,1460,5385,1850,1829,1388,5005
2036,1904,1441,5289,1927,1860,1410,5122
1960,1874,1420,5174,2003,1891,1432,5239
1883,1843,1398,5057,1825,1820,1381,4968
2082,1922,1455,5359,1881,1842,1397,5053
2005,1892,1433,5242,1957,1872,1419,5169
1929,1861,1411,5126,2035,1904,1441,5287
2099,1929,1460,5386,1836,1824,1384,4984
2051,1910,1446,5312,1912,1855,1406,5101
1974,1880,1424,5195,1989,1885,1428,5218
1897,1849,1402,5078,1825,1820,1381,4969
2096,1928,1459,5381,1867,1837,1393,5032
2020,1898,1437,5265,1944,1867,1415,5149
1943,1867,1415,5148,2021,1898,1437,5266
1866,1836,1393,5031,1826,1820,1381,4969
2060,1906,1442,5309,1887,1826,1384,5025
1977,1863,1411,5164,1964,1857,1407,5143
1900,1831,1388,5046,2040,1887,1428,5258
2089,1907,1443,5333,1842,1808,1371,4957
2023,1880,1423,5232,1919,1838,1393,5073
1946,1850,1401,5116,1995,1869,1416,5191
1870,1819,1379,4999,1814,1797,1363,4913
2068,1898,1436,5300,1873,1820,1380,5003
1992,1868,1415,5184,1950,1852,1403,5123
1916,1839,1394,5072,2027,1882,1425,5239
